title,redirect to,notes,final redirect,LGSL,description
Find your nearest recycling centre,gov.uk/recycling-collections,,yes,534,Recycling sites
Find out about searching for a birth certificate,https://www.gov.uk/register-offices,,yes,323,Birth - historical searches
Find out about your council tax account,https://www.gov.uk/council-tax/paying-your-bill,is there a reference to this in the mainstream guide or do rules vary so much it wouldn't make sense to do it?,yes,58,Council tax account enquiries
Find out about road closures and diversions,https://www.gov.uk/government/organisations/highways-england,consider mainstream user need,yes,570,Road closures and diversions
Find out about home improvement renovation grants,https://www.gov.uk/council-housing/repairs-and-maintenance, ,yes,135,#N/A
Find out about changes in circumstances which affect housing benefit claims,https://www.gov.uk/housing-benefit/eligibility,,yes,70,Housing benefit current claim
Find out about burial and grave details,https://www.gov.uk/find-your-local-council,,yes,335,Funeral records
Find out about copy certificates,https://www.gov.uk/order-copy-birth-death-marriage-certificate, ,yes,663,Copy certificates
Find out about road adoption by the council,https://www.gov.uk/find-your-local-council,consider building local transaction,yes,701,Road adoption
Find out about funeral expenses,https://www.gov.uk/funeral-payments/overview,,yes,331,#N/A
Find out about buying a grave plot,https://www.gov.uk/find-your-local-council,consider building local transaction,yes,333,Grave purchasing
Find out about changes in circumstances which affect council tax benefit claims,https://www.gov.uk/apply-council-tax-reduction, ,yes,64,Council tax benefit current claim
Find out about planning permission,https://www.gov.uk/planning-permission-england-wales, ,yes,485,Residential planning applications
Find out about decoration and disturbance allowances for council tenants - 1,https://www.gov.uk/council-housing/repairs-and-maintenance,what is disturbance allowance??,yes,143,Decoration and disturbance allowances
Find out about building regulations,https://www.gov.uk/building-regulations-approval,,yes,499,Building control
Find out about a council funeral,https://www.gov.uk/funeral-payments,"do council funerals still exist? if so, build mainstream content",yes,671,Funeral payment
Find out about details of council expenditure,https://www.gov.uk/understand-how-your-council-works/spending-and-accounts,,yes,1465,Council expenditure
Find out about jobs at your local council,https://www.gov.uk/find-your-local-council,,yes,337,Current vacancies
Find out about alley gating,https://www.gov.uk/find-your-local-council,consider building local transaction,yes,657,Alley gating
Find out about a community funeral service,https://www.gov.uk/funeral-payments,what is this?,yes,329,Municipal funerals
Find out about council rent inspections of shared accommodation,https://www.gov.uk/private-renting/houses-in-multiple-occupation,we may need to address this user need more specifically,yes,149,Fair rents inspection
Find out about help from the council for private tenants,https://www.gov.uk/private-renting/your-rights-and-responsibilities,,yes,108,Private tenant advice
Find out about listed buildings,https://www.gov.uk/government/policies/conservation-of-historic-buildings-and-monuments,,yes,514,Listed building consent
Find out about road works in your area,https://www.gov.uk/government/organisations/highways-england,as row 7,yes,569,Road works notification
Find out about Housing Association homes,https://www.gov.uk/housing-association-homes/,,yes,87,Housing association nomination and registration
Find out about leisure passes,https://www.gov.uk/find-your-local-council,,yes,456,Leisure passes
Find out about 'Hard to Let' council properties,https://www.gov.uk/council-housing,consider if this is a user need,yes,85,Hard to let properties
Find out about skip permits,gov.uk/apply-skip-permit,,yes,521,Skip permits
Find out about council housing rents,https://www.gov.uk/council-housing,,yes,120,Housing rent
Find out about library fines,gov.uk/local-library-services,,yes,443,Library fines
Find out about council contracts and tenders over £500,https://www.gov.uk/tendering-for-public-sector-contracts,,yes,828,Procurement - contracts lists
Find out about improving a council property - 1,gov.uk/council-housing/repairs-and-maintenance,,yes,654,Tenant housing alterations
Find out about home insurance for council tenants,https://www.gov.uk/council-housing,is this a user need?,yes,123,Home contents insurance
Find out about emergency out of hours repairs to council homes,gov.uk/repair-council-property,,yes,139,Emergency out of hours housing repairs
Find out about changing a council tenancy,gov.uk/council-housing/types-of-tenancy,,yes,711,Change of housing tenancy
Find out about exemptions from council tax,gov.uk/council-tax/who-has-to-pay,,yes,60,Council tax exemptions
Find out about street naming and numbering,gov.uk/street-name-sign,,yes,513,Street names and numbering
Find out about councillor allowances and expenses at your council,https://www.gov.uk/find-your-local-council,,yes,1574,Councillors allowances and expenses
Find out about sports clubs,https://www.gov.uk/find-your-local-council,,yes,641,Sports club directory
Find out about youth clubs,https://www.gov.uk/find-your-local-council,,yes,642,Young people's drop in activities
Find out about recycling,https://www.gov.uk/browse/housing-local-services/recycling-rubbish,,yes,851,Recycling advice
Find out about gypsy and traveller sites,https://www.gov.uk/find-your-local-council,,yes,655,Gypsy and traveller sites
Find out about local council meetings,https://www.gov.uk/find-your-local-council,,yes,719,Community assemblies and committees
Find out about backdating of housing benefit claims,https://www.gov.uk/housing-benefit/how-to-claim,,yes,68,Housing benefit backdated claims
Find out how to complain about a school,https://www.gov.uk/complain-about-school/types,,yes,630,School complaints procedure
Find out about advice and support for adult carers,https://www.gov.uk/browse/benefits/disability,,yes,225,Adult carers
Find out about backdating of council tax benefit claims,https://www.gov.uk/apply-council-tax-reduction, ,yes,62,Council tax benefit backdated claims
Find out about cremation,https://www.gov.uk/after-a-death/arrange-the-funeral,,yes,330,#N/A
Find out about parking on council estates,https://www.gov.uk/find-your-local-council,,yes,114,Estate parking
Find out about the council's interpreting and translation service,https://www.gov.uk/find-your-local-council,,yes,169,Translation and interpreting
Find out about sports facilities,https://www.gov.uk/find-your-local-council,,yes,644,#N/A
Find out more about blocked pavements,https://www.gov.uk/find-your-local-council,,yes,536,Pavement obstructions
Find out about eviction from council housing,https://www.gov.uk/council-housing-association-evictions,,yes,117,Housing evictions
Find out about domestic bins,gov.uk/rubbish-collection-day,,yes,526,Household waste containers
Find out about support for council tenants who are victims of nuisance,https://www.gov.uk/report-noise-pollution-to-council,,yes,98,Housing nuisance
Find out about contaminated land,https://www.gov.uk/contaminated-land/overview,,yes,418,Contaminated land
Find out about naming ceremonies,https://www.gov.uk/find-your-local-council,,yes,873,Naming ceremonies
Find out about the modernisation of council properties,gov.uk/council-housing/repairs-and-maintenance,,yes,129,Council home modernisation
Find out about council tax band reductions,https://www.gov.uk/council-tax-appeals/challenge-your-band,,yes,61,Council tax band reductions
Find out about illegal street trading,https://www.gov.uk/pedlars-certificate,,yes,399,Illegal street trading
Find out about councillor advice surgeries,https://www.gov.uk/find-your-local-council,,yes,357,Councillors surgeries
Find out about common land and village greens,https://www.gov.uk/common-land-village-greens,,yes,649,Common land and village greens
Find out about animal health and welfare,https://www.gov.uk/browse/housing-local-services/noise-neighbours,,yes,788,Animal inspection
Find out about advice and support for young carers,,content gap?,,300,Young carers support
Find out about appeals relating to council tax benefit decisions,https://www.gov.uk/apply-council-tax-reduction,,yes,65,Council tax benefit appeals
Find advice to consumers,https://www.gov.uk/consumer-protection-rights,,yes,787,Consumer advice
Find out about advice for council tenants,https://www.gov.uk/council-housing,,yes,109,Council tenant advice
Find out about freedom of information requests,https://www.gov.uk/make-a-freedom-of-information-request,,yes,722,Freedom of Information
Find out about council safety inspections of homes in multiple occupation,https://www.gov.uk/find-your-local-council, ,yes,150,Houses in multiple occupation safety inspection
Find out more about school meals,https://www.gov.uk/apply-free-school-meals,,yes,37,School catering
Find out about communal heating charges for council properties,https://www.gov.uk/find-your-local-council,,yes,122,Communal heating charge
Find out about leisure activities for older people,https://www.gov.uk/find-your-local-council,,yes,640,Older people's activities
Find out about rent arrears on a council tenancy,https://www.gov.uk/council-housing-association-evictions/overview,,yes,116,Rent arrears
Find out about election results,https://www.gov.uk/find-your-local-council,,yes,721,Election results
Find out about holiday accommodation,https://www.gov.uk/find-your-local-council,,yes,734,Tourist accommodation
Find out about councillors declaration of interest,https://www.gov.uk/find-your-local-council,,yes,355,Councillors declaration of interest
Find out about school governors,https://www.gov.uk/become-school-college-governor,,yes,29,School governors
Find out about debt counselling,https://www.gov.uk/options-for-paying-off-your-debts/overview,,yes,651,Debt counselling
Find out local council news,https://www.gov.uk/find-your-local-council,,yes,359,News and information releases
Find out about personal searches of local land charges,https://www.gov.uk/government/publications/personal-searches-of-the-local-land-charges-register-and-other-records-held-by-local-authorities,,yes,610,#N/A
Find out about an assessment of special educational needs,https://www.gov.uk/children-with-special-educational-needs/overview,,yes,9,Special educational needs assessment
#N/A,n/a,,,843,Weighbridge operator licence
#N/A,n/a,,,707,Cooling tower registration
Find out about civil marriage ceremonies,https://www.gov.uk/marriages-civil-partnerships/weddings-and-civil-partnership-ceremonies,,,317,Wedding venues
Find out about support for looked after children,https://www.gov.uk/topic/schools-colleges-childrens-services/looked-after-children,,,840,Support for children in care
#N/A,n/a,,,678,Sunday trading notification
Find out about advice for tenants and landlords in the private sector,gov.uk/private-renting,,yes,652,Private housing advice
